SEJ Asset Management & Inv Co,1909 Hermitage Dr,TX,Round Rock,786811953
"7-Eleven, Inc.",2101 E Highway 114,TX,Roanoke,762626668
"7-Eleven, Inc.",900 W Highway 114,TX,Roanoke,762623321
,510 Highway 277 N,TX,Sonora,769501800
Walnut Creek,1100 Highway 287 N,TX,Mansfield,760634802
"7-Eleven, Inc.",200 Highway 290 W,TX,Elgin,786213214
Hawkins Family Partners L P,8600 Highway 290 W,TX,Austin,787367937
"7-Eleven, Inc.",3105 Highway 35 N,TX,Rockport,783825718
"7-Eleven, Inc.",5688 Highway 35 N,TX,Rockport,783829610
,904 Highway 35 S,TX,Rockport,783823908
New A & S Investments Inc,9501 Highway 377 S,TX,Benbrook,761263232
Henry Blumner,26730 E Highway 380,TX,Little Elm,75068
"7-Eleven, Inc.",826 E Highway 67,TX,Duncanville,751373406
"7-Eleven, Inc.",310 W Highway 67,TX,Duncanville,751374413
National Retail Properties LP,7003 W Highway 90,TX,San Antonio,78227
Courtney Ethel A,6229 Hillcrest Ave,TX,Dallas,752055007
Barbara L Baxley-Adkins,6311 Hillcrest Rd,TX,Frisco,75035
"7-Eleven, Inc.",3520 Horizon Rd,TX,Rockwall,750326449
Dg/7-eleven Property Holdings Llc,1624 Howard Ln,TX,Pflugerville,78660
"7-Eleven, Inc.",6100 S Hulen St,TX,Fort Worth,761333404
Simons Mike,8533 S Hulen St,TX,Fort Worth,761232763
Racetrac Petroleum 499,2411 E Hwy 190,TX,Copperas Cove,76522
"7-Eleven, Inc.",33889 Hwy 281 N,TX,Bulverde,78163
"7-Eleven, Inc.",3700 Hwy 67,TX,Mesquite,75150
,155 Hwy 82,TX,Avery,75554
,22553 Ih 35 Fwy,TX,Kyle,78640
"7-Eleven, Inc.",2701 S Ih 35,TX,Belton,765134517
"7-Eleven, Inc.",1410 E Illinois Ave,TX,Dallas,75216
"7-Eleven, Inc.",3200 W Illinois Ave,TX,Dallas,75211
Sterling Corporation,6925 Independence Pky,TX,Plano,750231406
Bubion Investment Co,100 Interstate 20 E,TX,Arlington,760181118
SEJ Asset Management & Inv Co,9401 N Interstate 35,TX,Austin,787533803
"7-Eleven, Inc.",11702 N Interstate 35,TX,San Antonio,78233
,14730 N Interstate 35,TX,Austin,787287006
Mohammad Taj,1501 N Interstate 35 E,TX,DeSoto,751152600
,6515 S Interstate 35,TX,Austin,787443411
"Carlisle Interests, Inc.",1607 Inwood Rd,TX,Dallas,752476101
Hamco Realty Grapevine Llc,3125 Ira E Woods Ave,TX,Grapevine,760513815
Speedy Stop Food Stores Ltd,1900 N Jackson Rd,TX,Pharr,785777405
LCG Cockrell Hill LLC,4411 W Jefferson Blvd,TX,Dallas,75211
Ronald Felton,980 NW John Jones Dr,TX,Burleson,76028
"7-Eleven, Inc.",3601 John Stockbauer Dr,TX,Victoria,779042445
"TETCO, Incorporated",11587 Jollyville Rd,TX,Austin,78759
,7655 Jones Maltsberger Rd,TX,San Antonio,78216
,12202 Jones Maltsberger Rd,TX,San Antonio,78247
,4210 Josey Ln,TX,Carrollton,75010
Armalu Investments,2417 Jupiter Rd,TX,Plano,750744903
A & Y Enterprises Inc,6418 N Jupiter Rd,TX,Garland,750442066
Healdan Group Inc,102 W Kaufman St,TX,Rockwall,750873032
"7-Eleven, Inc.",1975 Keller Pky,TX,Keller,762483709
"7-Eleven, Inc.",1230 N Kelly Ave,OK,Edmond,73003
"7-Eleven, Inc.",1102 W Kiest Blvd,TX,Dallas,752243231
Ernest Cheonis,2524 La Salle Ave,TX,Waco,767063930
"7-Eleven, Inc.",2620 Lake Austin Blvd,TX,Austin,787034453
Martin Eagle Oil Co,7037 Lake June Rd,TX,Dallas,752171327
,10208 Lake June Rd,TX,Dallas,752173375
Joe Klug,11900 Lake June Rd,TX,Mesquite,75180
Morrison-Moore Properties Ltd,1705 S Lakeshore Blvd,TX,Austin,787411259
Greenway Investment Company,8509 Lakeview Pky,TX,Rowlett,750889305
"TETCO, Incorporated",2101 E Lamar Blvd,TX,Arlington,760067409
Pruett Harry D,917 N Lamar Blvd,TX,Austin,78703
SEJ Asset Management & Inv Co,5101 N Lamar Blvd,TX,Austin,787512319
Southland Corporation,8900 N Lamar Blvd,TX,Austin,787535012
SEJ Asset Management & Inv Co,10111 N Lamar Blvd,TX,Austin,78753
"7-Eleven, Inc.",1403 S Lamar Blvd,TX,Austin,78704
Southland Corp 12475,2536 E Lancaster Ave,TX,Fort Worth,76103
"7-Eleven, Inc.",3602 S Lancaster Rd,TX,Dallas,752165629
,770 W LBJ Fwy,TX,Irving,750633713
SEJ Asset Management & Inv Co,2911 E Ledbetter Dr,TX,Dallas,752167922
Larry & Terri Chaney Family Trust,2400 W Ledbetter Dr,TX,Dallas,752334016
